statement_id,band,tier,confidence,matched_ledger_ids,predicted_allocations,reason
493774985907,green,exact,1.000,964267878358,USD_2022-01-28_ACC#00001_66912     666896668913027378246660 CA HAN65     AT885446 SMILAX   GESS      T313027378246660 CA HAN65     AT885446,"amount, value date and sign agree, and a reference code is shared"
744103695791,green,exact,1.000,541646019011,USD_2022-09-08_ACC#00001_66912     0256602566 SMILAX   FGGKR,"amount, value date and sign agree, and a reference code is shared"
636939812295,green,exact,1.000,42398821147,USD_2022-09-10_ACC#00001_66912     66325663250 32566D5RP7 088            JOQVY - ELUVIA - SMILAX   GFG       VC0 32566D5RP7 088            JOQVY - ELUVIA -,"amount, value date and sign agree, and a reference code is shared"
452324230919,green,exact,1.000,484999517027,USD_2022-09-10_ACC#00001_66912     66325663250 32566D5TDO 088            JOQVY - ELUVIA - SMILAX   GFG       VC0 32566D5TDO 088            JOQVY - ELUVIA -,"amount, value date and sign agree, and a reference code is shared"
219833900920,green,exact,1.000,670342811183,USD_2022-09-10_ACC#00001_66912     6107361073 SMILAX   GPD,"amount, value date and sign agree, and a reference code is shared"
91856920933,green,exact,1.000,843908686619,USD_2022-09-10_ACC#00001_66912     6682866828SHAMESICK FROM JAUN UNFED   BHOOSA- DESINENT SMILAX   FGGQQ     PHOTOACTIVE FROM JAUN UNFED   BHOOSA- DESINENT               029666884360546802,"amount, value date and sign agree, and a reference code is shared"
262270667392,green,exact,1.000,286850770194,USD_2022-09-10_ACC#00001_66912     6033960339 SMILAX   GPD,"amount, value date and sign agree, and a reference code is shared"
222033267577,green,exact,1.000,983545086510,USD_2022-09-10_ACC#00001_66912     66325663250 32566D5DYT 088            JOQVY - ELUVIA - SMILAX   GFG       VC0 32566D5DYT 088            JOQVY - ELUVIA -,"amount, value date and sign agree, and a reference code is shared"
989183538449,green,exact,1.000,21251065507,USD_2022-09-10_ACC#00001_66912     6692666926 SMILAX   GPD,"amount, value date and sign agree, and a reference code is shared"
987522728745,green,exact,1.000,736383744206,USD_2022-09-10_ACC#00001_66912     0250702507180359 67666                SEMSEM MARACAN WHUFF SMILAX   BOLL      RM180359 67666                SEMSEM MARACAN S FOMALHAUT,"amount, value date and sign agree, and a reference code is shared"
